,trigger,options,AMS,MAD,MSE,ROCIntegral,overtrain
44,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:NTrees=500:MinNodeSize=7.5%:MaxDepth=15,0.914,0.12108405984064184,0.021638189323902147,83.69948445946052,1.9636787405872838
45,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:NTrees=500:MinNodeSize=10%:MaxDepth=3,0.866,0.12888891698772226,0.024555021001860123,83.12081014001404,1.9680058231099338
46,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:NTrees=500:MinNodeSize=10%:MaxDepth=5,0.887,0.12649774148056692,0.02367779925656206,83.32184350292914,1.9663586547681007
47,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:NTrees=500:MinNodeSize=10%:MaxDepth=7,0.887,0.12479782673342046,0.023087881216811372,83.58522903399,1.975945993699952
48,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:NTrees=500:MinNodeSize=10%:MaxDepth=10,0.87,0.12792627167752793,0.024135356685823874,83.30286084009208,1.964410325004792
49,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:NTrees=500:MinNodeSize=10%:MaxDepth=15,0.867,0.12366290385136405,0.02263273826914773,83.47615691128891,1.9723132112803796
50,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=1%:NTrees=100,1.0,0.21365748396775383,0.06731380102334455,83.74864033604763,1.9446771701014427
51,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=1%:NTrees=250,1.0,0.134422898311363,0.027504009739939567,83.55789453413149,1.894218223739685
52,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=1%:NTrees=400,0.97,0.107450948051929,0.01789032747298336,83.25142650637984,1.8639148652475797
53,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=1%:NTrees=600,0.982,0.08587659744747159,0.011735014528926063,83.15895655972312,1.83008491565883
54,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=1%:NTrees=1000,0.888,0.06758821289940271,0.0074679446030039825,82.88705849865018,1.7904129877875903
55,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=2.5%:NTrees=100,0.932,0.22810621340275256,0.07557094157760204,83.64197839011463,1.9614048714261116
56,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=2.5%:NTrees=250,1.0,0.14965524715931605,0.03343258091298483,83.73793064751554,1.9453435330582067
57,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=2.5%:NTrees=400,1.01,0.11766955315843702,0.021181774065826654,83.85020246369702,1.926819527011503
58,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=2.5%:NTrees=600,1.05,0.09498394775036831,0.014048874619538656,83.624634227492,1.9036562057385709
59,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=2.5%:NTrees=1000,1.05,0.0714667575848005,0.00804271111097181,83.57849683274435,1.8804566681903907
60,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=5%:NTrees=100,0.877,0.22760744622050078,0.0753641822643249,83.36541498702867,1.9760001685767747
61,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=5%:NTrees=250,0.942,0.16198255964241903,0.038309470206217826,83.70460007858199,1.9710463639233922
62,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=5%:NTrees=400,0.94,0.12871156197986358,0.024820876096820002,83.9245063600285,1.964792004056335
63,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=5%:NTrees=600,0.952,0.10693872704796453,0.01721123177141901,84.16375248131779,1.9606420110203544
64,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=5%:NTrees=1000,0.936,0.08306840092068937,0.01055618149421906,83.86716876024023,1.9362881007905344
65,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=7.5%:NTrees=100,0.873,0.2293331678717538,0.07575048179500685,83.07294179877175,1.9727777897351189
66,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=7.5%:NTrees=250,0.876,0.1633661460587692,0.039469586397767445,83.46180424659646,1.9710251102467282
67,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=7.5%:NTrees=400,0.914,0.13258359650851406,0.025858907384721182,83.68547948387047,1.9703398236745215
68,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=7.5%:NTrees=600,0.954,0.1139100830775309,0.01929739234639243,83.98228870569204,1.9724807205981278
69,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=7.5%:NTrees=1000,0.909,0.08814120013820764,0.01179376438804703,83.94595022703281,1.952121154186102
70,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=10%:NTrees=100,0.83,0.2273284625828701,0.07400363702727963,82.89483384196873,1.9739548690213269
71,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=10%:NTrees=250,0.829,0.16762017513538194,0.04113145066417559,83.20170780468543,1.9684858368157165
72,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=10%:NTrees=400,0.896,0.13552526219940475,0.027159547963310295,83.46247216590115,1.9728522448758667
73,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=10%:NTrees=600,0.892,0.11568148119192921,0.02005775826715593,83.73985852625772,1.9740125095213443
74,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MaxDepth=10:MinNodeSize=10%:NTrees=1000,0.893,0.09316691476856985,0.013133849369575384,83.71455064709085,1.9605938803561003
