,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.893,0.619,0.14735676806748613,0.0327010677942841,82.02982519111934,1.9348026428324374,164966.76208496094,248.5822484344244
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.876,0.636,0.14483526065396174,0.032206073390125135,81.75153952085529,1.939964810847414,136849.38989257812,226.02513210475445
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.98,0.725,0.14989700986328097,0.03429158583409183,83.44394739403886,1.943461370670775,122648.40058898926,248.89486515522003
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.16,0.858,0.14583895563436017,0.03227610071508015,83.43187449441629,1.9355147395654058,41895.86022877693,159.18655712157488
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.08,0.732,0.1491641390860768,0.03385628061150034,83.44509342005367,1.9297422747067685,110561.13174438477,237.9837503284216
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.879,0.601,0.1461361180577115,0.03363120111040276,83.0488712837701,1.9383643058044981,236926.14916992188,289.1090654581785
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,1.02,0.723,0.1484115058674359,0.03349845198224115,82.53419676901069,1.9354057975378964,118219.91186523438,242.83431792259216
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.08,0.727,0.1509938863568897,0.03483419084843653,83.38135669007589,1.9417873432248598,127305.98229980469,252.23233005404472
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.09,0.72,0.15111274859154003,0.03484831903363587,83.42221591837134,1.9461642567475792,127782.12924194336,251.1214303970337
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",0.981,0.707,0.14762112840092786,0.03343495974620502,83.1055780786511,1.9418943072663843,124606.39154052734,242.04511347413063
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",0.993,0.736,0.14619943457937046,0.032629140337736645,83.42445426407266,1.9389983750807005,105360.35037231445,233.0507408976555
11,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.06,0.77,0.14790877358452156,0.0332883934911601,83.46140035426154,1.9481680127637446,89293.5980834961,220.76235350966454
12,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.02,0.743,0.15018915582548542,0.03441764809778335,83.46503861653359,1.94401982763884,104083.0453491211,231.19926831126213
13,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.02,0.737,0.14915815468312826,0.033999506565299424,83.48780364593003,1.9447419131120114,94839.12056732178,216.71531891822815
14,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF2']",1.06,0.76,0.15122385164003316,0.034883812957320334,83.53072063690325,1.937300680813678,92790.5431060791,222.06291049718857
15,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",0.958,0.67,0.14937030604366183,0.03376660584315583,82.71352658218147,1.9374171932104218,163679.00735473633,264.5402997136116
16,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",0.972,0.714,0.14841614530440495,0.03371801006944457,83.4274629985175,1.942307929034996,116395.90859985352,238.31018352508545
17,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_nConstituents1', 'WJet_nConstituents2']",1.08,0.757,0.15096424538935813,0.03472242565254034,83.48689498992816,1.9350214201258495,113366.84881591797,247.02340772747993
18,HLT_PFHT180,recon_Wmass,0.814,0.567,0.1640954849725447,0.04046295651944547,83.67450846643469,1.9780552523288861,470602.4878845215,384.3816745132208
19,HLT_PFHT180,deltaR_reconHW,0.794,0.557,0.1553873222045642,0.036412255125084225,82.19018440606618,1.975209028426434,1543684.6328125,680.5762532949448
20,HLT_PFHT180,recon_Hpt,0.894,0.646,0.16277695218123095,0.03981067106523994,84.27185843867194,1.978031588725571,241674.50296020508,306.9869365096092
21,HLT_PFHT180,recon_Wpt,0.92,0.666,0.16502775241017212,0.04067857125739303,84.09216728322187,1.9762635653642064,238158.76342773438,318.2383836507797
22,HLT_PFHT180,deltaR_bb,0.869,0.631,0.1654259521037781,0.04109935827636725,84.11601244217506,1.9766724949827221,424429.919631958,403.9273677319288
23,HLT_PFHT180,deltaR_W,0.76,0.514,0.1704975616002116,0.043990298076598086,83.16664385507924,1.9697910784229862,2507254.7001953125,807.8285319805145
24,HLT_PFHT180,Jet_HT,0.86,0.611,0.15760422267413954,0.037693629223739436,83.51846559264224,1.9794123415690592,727385.2209472656,514.2114810347557
25,HLT_PFHT180,"['bJet_pt1', 'bJet_pt2']",0.828,0.599,0.1648739580624429,0.040755787849695004,83.7078416013151,1.9730871703557114,1638916.787109375,760.4989637732506
26,HLT_PFHT180,"['WJet_pt1', 'WJet_pt2']",0.9,0.662,0.1657903100995543,0.041146227112321146,84.21621005751864,1.9781962332522198,348730.6159667969,381.2462205514312
