,trigger,leftvar,AMS,MAD,MSE,ROCIntegral,overtrain
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.817,0.1109854415851726,0.019066998540308112,82.16000743338346,1.9348905154802196
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.838,0.11092091348283416,0.018364066191275397,81.98023664984554,1.9233628051288179
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.815,0.10929923933864166,0.017715983893584236,81.32553170346493,1.919675855724563
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.884,0.1154257260542136,0.02023743797952717,83.13621441719035,1.9162458760411027
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.0,0.1189110716878749,0.02134009548709552,83.19147477985541,1.92452978877418
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,0.923,0.11307765152190992,0.019427319569068208,83.29497828357296,1.9303031439267215
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.898,0.11804278991785594,0.021138552071540147,83.10489665762677,1.917607945085365
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.854,0.11334545788990051,0.019927144138463842,82.429973276161,1.9281098781289074
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt1,0.895,0.11684991507618867,0.020858397464941374,83.26987739543318,1.9379147384552198
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt2,0.872,0.11786625129328167,0.020925239682050328,83.41193251452923,1.9352887494751485
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt1,0.926,0.11501749265462183,0.020183607709230958,83.44925978061639,1.9161361080728057
11,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt2,0.915,0.11459139512954392,0.019927408847237725,83.2161785986944,1.9268602169001952
12,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB1,0.9,0.11890672729383867,0.021573178425453914,83.26664849815796,1.9237378382431416
13,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB2,1.01,0.12189682330667923,0.022266208092619155,83.40945175445972,1.9245423911670514
14,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB1,0.934,0.11854971788219454,0.021247022950260777,83.36076172936939,1.9319407774705724
15,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB2,0.921,0.1173285339511721,0.020642119051298473,83.18692862523336,1.9202811996087803
16,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.804,0.11014059054915133,0.018642996881979082,82.12424583061572,1.923822550503246
17,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.809,0.11322355201201897,0.019492105048665293,81.82181740736128,1.9280807184811692
18,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.877,0.11119725225944171,0.018247346113098223,81.760745327838,1.9097972657000355
19,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.88,0.11526101873153277,0.01997829353588241,82.90403609656204,1.9105743895452179
20,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.1,0.11558738728963701,0.019859903336854817,83.44412028010207,1.925513720762332
21,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,0.932,0.11820750643074796,0.020921359851503868,83.46357189210062,1.9230901877417637
22,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.901,0.11976034848190122,0.022179815675205067,83.00027918119389,1.9205626041839423
23,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.923,0.11105469160016003,0.018673034103564214,82.2285090929949,1.9075669715757613
24,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt1,0.918,0.12246619893109914,0.022139734187847464,83.11974597522595,1.9364036837428102
25,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt2,0.846,0.11585436336005184,0.02018658202418206,82.97884954811812,1.9187111352912325
26,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt1,0.857,0.11843138586963041,0.021372316634795,83.36460013097576,1.9307559233075153
27,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt2,0.9,0.1180431525999432,0.021007974166402762,83.27829614983284,1.9268653707031262
28,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB1,0.978,0.11401228632570683,0.019796268857485786,83.1168157841431,1.912441778487846
29,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB2,0.981,0.11370533460092148,0.019319405334848383,83.26016763857595,1.9218143744446934
30,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB1,0.89,0.11687802178977785,0.020605913490290416,83.25046583308327,1.9208090821553014
31,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB2,0.867,0.11977671259580658,0.02135907956725919,83.16827962550221,1.920030433492002
32,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.823,0.10663196585256218,0.01804188118911316,82.22814594803161,1.9266980546199193
33,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.838,0.10710887302032494,0.01731364898426524,82.17624006436391,1.9198957272440111
34,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.848,0.11196493674982413,0.018632407113122283,81.11862046712544,1.9160679700244145
