,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",0.996,0.706,0.059108421965196785,0.005527805996884788,83.324738286414,1.9281173833223875,154043.27737426758,267.0160177797079
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",0.925,0.714,0.0573085428578002,0.005199355057399122,83.0443805062968,1.9232655830621255,49878.298751831055,150.2279602587223
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.16,0.88,0.058305465164290096,0.005395189136296888,83.41924078591703,1.9341457938285203,55110.741554260254,191.4079382866621
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.08,0.79,0.05688735456558598,0.0051742637686683,83.19195280825902,1.919247130595977,52667.40512084961,175.28843101859093
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.09,0.776,0.05630139529837486,0.005002022824496079,83.48813039045244,1.929891920510272,96529.2428894043,235.4899023026228
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",0.971,0.713,0.05848132383790651,0.005462610143694486,83.40216779823169,1.9277612928338996,137981.13208007812,257.0209308862686
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF2']",0.956,0.82,0.06034773435454029,0.005833790573148422,83.64171656943421,1.9351601082471461,43935.2370300293,165.8795068860054
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",1.11,0.673,0.05711921704361807,0.005123058031178311,83.00922097216431,1.9467476132913362,133497.77890014648,233.81425613164902
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",1.05,0.711,0.05921220201167496,0.005522134840907629,83.50026753538783,1.9360057907897499,147166.3833770752,268.72647654265165
