,trigger,options,AMS,MAD,MSE,ROCIntegral,overtrain,AMSrecon,bckevents,sigevents
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=G,1.26,0.1128570240955313,0.018909823353799364,89.49587795747254,1.9580139201988125,0.8,91793.38807678223,234.29811018705368
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=N,0.95,0.10717479892029366,0.01703413978480492,88.96658026985608,1.9485853078840591,0.752,89421.6276550293,214.48317309468985
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=D,0.7,0.09972306970216518,0.01490690959872814,87.305921896696,1.9449793867047447,0.624,140252.060546875,205.6393518447876
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=P,0.692,0.09639411665341968,0.014165408872416218,86.74592482110693,1.9465283848367108,0.568,277662.19140625,270.26538693904877
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=U,1.22,0.10832246762522398,0.01751640508772492,89.19760952724748,1.9426493690771167,0.864,76610.92722320557,221.75371319800615
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=50,0.738,0.3102181517451542,0.13462601132239782,87.41610931020189,1.9622763257639235,0.589,330119.1418220997,312.03088253736496
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=100,0.928,0.25184461253408785,0.09018017895650249,88.1639578182287,1.9622804881037155,0.628,146680.9920578003,231.97772747278214
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=250,0.981,0.1799812013396596,0.047335836005451375,89.00076965932027,1.9713614319571207,0.706,120001.31649780273,234.95633202791214
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=500,1.01,0.134092305104474,0.02648923650353462,89.22511549840883,1.9602587388826578,0.764,72088.65966796875,201.56470485776663
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=1000,1.01,0.09720575846000079,0.014001780841549212,88.95821714774988,1.9358917782230756,0.732,141778.2567138672,267.89743638038635
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,BoostType=AdaBoost,0.95,0.11164667849320634,0.018306757976156475,88.89013481299244,1.9502636169809193,0.738,100089.90307617188,226.05337835103273
11,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,BoostType=RealAdaBoost,0.844,0.47173937668376237,0.22363901475212233,87.74094551920307,1.9653107693643506,0.653,160239.79376220703,245.27629593014717
12,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,BoostType=Bagging,0.148,0.9414881480199013,0.9062821009564466,77.80948407330041,1.97250957545657,0.341,11931173.8125,1023.3167276382446
13,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,BoostType=Grad,0.66,0.682407007880483,0.5506657937219184,88.21373056427947,1.8811821453273296,0.576,608661.3764648438,441.5342383980751
14,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NodePurityLimit=0.25,0.067,0.6105364070616854,0.48025915977752354,66.81293500650504,1.954478251398541,0.37,7846647.46875,910.9770183563232
15,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NodePurityLimit=0.5,1.14,0.10931801632043162,0.017716929583229638,89.0873759963773,1.9456235076137318,0.788,65202.68209838867,190.9275775179267
16,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NodePurityLimit=0.75,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
17,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MaxDepth=2,0.916,0.1114586020030299,0.01797334010127939,88.52339972112493,1.9649344681419052,0.695,65550.38995361328,169.05723858624697
18,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MaxDepth=3,1.03,0.1098515123509741,0.01790306434513177,88.9604692800992,1.9461914766836799,0.803,63765.06483459473,189.64414521306753
19,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MaxDepth=5,0.954,0.1008658081510139,0.01510413537780195,88.88136874334688,1.9069626307710905,0.85,47856.51840209961,174.11026569455862
20,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MaxDepth=10,0.933,0.09858993871407491,0.014323237031156937,88.46647069372946,1.8681074924497807,0.705,217152.294380188,321.927586376667
21,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MinNodeSize=0.5,1.1,0.12933862116606984,0.02433663204769475,89.32177341859456,1.9595377232858535,0.772,70553.41570281982,199.6945978999138
22,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MinNodeSize=1%,1.09,0.11882377866088431,0.020697786538804133,89.43650911267794,1.9523089518936665,0.83,63608.669036865234,199.38052260130644
23,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MinNodeSize=2.5%,1.6,0.11281910912174307,0.018940436440845726,89.1459708791478,1.9489927514385812,0.894,46288.26154899597,177.8728090748191
24,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MinNodeSize=5%,1.28,0.10802845610875189,0.017419136575374916,88.98111489968521,1.9489335595912962,0.871,50250.82613372803,171.9181062579155
25,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,MinNodeSize=10%,0.962,0.11141217639383881,0.018399054490771904,88.63790571130451,1.9587525862734765,0.716,116884.18231201172,238.265121050179
26,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,SeparationType=CrossEntropy,1.08,0.1074407805595943,0.01705418840987678,89.05983204974689,1.9487132494159596,0.77,51925.950439453125,168.50342568010092
