options,AMS,AMSstd,AMSrecon,AMSreconstd,sigevents,sigeventsstd,bckevents,ROCIntegral,overtrain
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=400:MaxDepth=10,0.644,,1.44,0.298,270.21509124338627,298.596,117049.71585845947,0.797,1.437
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=400:MaxDepth=15,0.618,,1.197,0.108,770.3144459724426,529.736,627843.3009440104,0.789,1.343
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=400:MaxDepth=5,0.903,,2.607,2.333,177.71277108540139,148.791,33664.105028371014,0.824,1.805
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=400:MaxDepth=7,0.692,,1.463,0.199,34.60526001701752,3.416,4148.222668965657,0.81,1.637
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=600:MaxDepth=10,0.624,,1.72,0.743,395.69194353123504,432.933,256964.36701687178,0.788,1.303
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=600:MaxDepth=15,0.584,,3.49,3.525,87.40796642502148,11.315,15470.558066904545,0.782,1.186
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=600:MaxDepth=5,0.846,,1.66,0.165,140.97806226462126,74.971,17813.552774826687,0.819,1.745
SeparationType=CrossEntropy:MinNodeSize=1%:NTrees=600:MaxDepth=7,0.751,,1.377,0.188,258.42186684906477,112.378,64364.2457224528,0.806,1.541
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=10%:MaxDepth=10,0.845,,1.09,0.078,230.96951392789683,187.791,76331.19506279628,0.826,1.912
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=10%:MaxDepth=15,0.844,,1.003,0.012,402.6415976757805,171.106,191918.50322699547,0.83,1.925
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=10%:MaxDepth=5,0.837,,1.008,0.038,320.75315766284865,21.785,108383.86923980713,0.829,1.922
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=10%:MaxDepth=7,0.832,,1.02,0.026,359.28912923733395,16.335,131385.3239034017,0.827,1.92
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=2.5%:MaxDepth=10,0.78,,1.573,0.238,52.19731926669677,19.512,5160.580917358398,0.813,1.707
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=2.5%:MaxDepth=15,0.742,,1.363,0.208,153.45796284079552,211.275,47063.48882039387,0.813,1.696
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=2.5%:MaxDepth=5,0.961,,1.267,0.075,168.58539374669394,86.469,23776.57325744629,0.824,1.833
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=2.5%:MaxDepth=7,0.816,,1.527,0.096,62.63173508644104,6.272,6283.378532409668,0.816,1.751
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=5%:MaxDepth=10,0.91,,1.177,0.06,291.77451778948307,256.661,102649.85171085596,0.823,1.846
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=5%:MaxDepth=15,0.897,,1.157,0.032,438.6563954204321,40.158,159554.40808463097,0.821,1.843
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=5%:MaxDepth=5,0.91,,1.117,0.032,248.6872724145651,27.808,55989.37642923991,0.824,1.866
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=5%:MaxDepth=7,0.827,,1.16,0.026,186.3936831007401,126.631,38079.99634949366,0.825,1.853
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=7.5%:MaxDepth=10,0.841,,1.103,0.031,269.2787683481971,32.034,63803.414867838226,0.827,1.892
SeparationType=CrossEntropy:NTrees=400:MinNodeSize=7.5%:MaxDepth=15,0.862,,1.083,0.038,264.5183012833198,17.941,66417.84806225698,0.826,1.895
