leftvar,AMS,AMSstd,ROCIntegral,overtrain
Jet_HT,0.758,0.032,0.824,1.936
"['HJet_qgl1', 'HJet_qgl2']",0.759,0.027,0.841,1.942
"['WJet_btagDeepB1', 'WJet_btagDeepB2']",0.77,0.019,0.836,1.94
"['WJet_btagDeepC1', 'WJet_btagDeepC2']",0.827,0.06,0.841,1.944
"['WJet_mass1', 'WJet_mass2']",0.794,0.066,0.838,1.945
"['WJet_nConstituents1', 'WJet_nConstituents2']",0.799,0.073,0.84,1.94
"['WJet_neEmEF1', 'WJet_neEmEF2']",0.822,0.091,0.841,1.946
"['WJet_neHEF1', 'WJet_neHEF2']",0.812,0.09,0.839,1.943
"['WJet_pt1', 'WJet_pt2']",0.807,0.063,0.84,1.94
"['WJet_qgl1', 'WJet_qgl2']",0.721,0.026,0.834,1.944
"['bJet_mass1', 'bJet_mass2']",0.79,0.07,0.839,1.944
"['bJet_pt1', 'bJet_pt2']",0.78,0.041,0.837,1.939
deltaR_W,0.718,0.026,0.838,1.946
deltaR_bb,0.746,0.031,0.838,1.942
deltaR_reconHW,0.693,0.021,0.824,1.938
recon_Hpt,0.814,0.046,0.84,1.945
recon_Wmass,0.643,0.012,0.827,1.949
recon_Wpt,0.777,0.03,0.839,1.947
Jet_HT,0.731,0.073,0.831,1.975
"['HJet_qgl1', 'HJet_qgl2']",0.693,0.034,0.84,1.976
"['WJet_btagDeepB1', 'WJet_btagDeepB2']",0.628,0.043,0.834,1.975
"['WJet_btagDeepC1', 'WJet_btagDeepC2']",0.683,0.04,0.839,1.974
"['WJet_mass1', 'WJet_mass2']",0.681,0.034,0.838,1.978
"['WJet_nConstituents1', 'WJet_nConstituents2']",0.658,0.043,0.838,1.978
"['WJet_neEmEF1', 'WJet_neEmEF2']",0.683,0.047,0.839,1.975
"['WJet_neHEF1', 'WJet_neHEF2']",0.692,0.023,0.841,1.977
"['WJet_pt1', 'WJet_pt2']",0.679,0.035,0.838,1.978
"['WJet_qgl1', 'WJet_qgl2']",0.636,0.026,0.834,1.977
"['bJet_mass1', 'bJet_mass2']",0.664,0.036,0.839,1.976
"['bJet_pt1', 'bJet_pt2']",0.671,0.029,0.833,1.975
deltaR_W,0.529,0.014,0.83,1.977
deltaR_bb,0.686,0.051,0.841,1.976
deltaR_reconHW,0.608,0.016,0.816,1.976
recon_Hpt,0.705,0.032,0.837,1.976
recon_Wmass,0.581,0.008,0.83,1.974
recon_Wpt,0.678,0.03,0.839,1.974
